iter	Accuracy	Logloss
0	0.7463050901	0.6098741586
1	0.7488560104	0.5625529412
2	0.7526392214	0.5339709258
3	0.7548918802	0.5170556743
4	0.7565166202	0.5052352057
5	0.757733213	0.4980909365
6	0.7589027118	0.4924506893
7	0.7603155292	0.4880857933
8	0.7616812527	0.484587638
9	0.7619952121	0.481834811
10	0.7632902947	0.4800078028
11	0.7641144382	0.4779979501
12	0.7646167733	0.476382438
13	0.7653859739	0.4744979863
14	0.7664769828	0.473044735
15	0.7671519956	0.4717380434
16	0.7678191594	0.4707867592
17	0.7684627762	0.4695256297
18	0.7689023194	0.468587158
19	0.7699854794	0.4670579162
20	0.7703308347	0.4657742848
21	0.7713198069	0.4649760663
22	0.7715866724	0.46418182
23	0.7718692359	0.4635452423
24	0.7719477258	0.4627466063
25	0.7722145913	0.4619697654
26	0.7724343629	0.4614819614
27	0.7730701307	0.4606562704
28	0.7734861269	0.4600265234
29	0.7740355559	0.45948967
30	0.7745928339	0.4590003538
31	0.7751422629	0.4582088877
32	0.7755582591	0.4574237288
33	0.7755739571	0.4569250633
34	0.7757701817	0.456398808
35	0.7761861779	0.4559337773
36	0.7763981005	0.4555523582
37	0.7766571171	0.4550656012
38	0.7767905498	0.4546042884
39	0.7775989953	0.4535813145
40	0.7780385385	0.4529056859
41	0.7785094777	0.4523352213
42	0.7791452455	0.4518216878
43	0.7794827519	0.4511050032
44	0.7797574663	0.4505857044
45	0.7801656136	0.4499615158
46	0.7805737608	0.4494674279
47	0.7810603979	0.4488900019
48	0.7818374475	0.4481643047
49	0.7822141988	0.4475736484
50	0.7824496684	0.4469068164
51	0.7827714768	0.4463621439
52	0.7831168321	0.4458618538
53	0.7836505632	0.4454183579
54	0.7838781837	0.4449470277
55	0.7843648208	0.4442207897
56	0.7844433107	0.4438563031
57	0.7847023272	0.4432539853
58	0.7850005887	0.4427891133
59	0.7852596052	0.4423776798
60	0.7859738629	0.4417568016
61	0.7864212551	0.4413273474
62	0.7867273655	0.4410855417
63	0.786970684	0.4407001261
64	0.787520113	0.4399182442
65	0.7878890153	0.4393799246
66	0.7881951258	0.4390376775
67	0.7882971626	0.4388645092
68	0.7887210078	0.4382214936
69	0.7887602527	0.4382146699
70	0.7888308936	0.4380146905
71	0.7890349672	0.4376615804
72	0.7895294533	0.4370925842
73	0.78970998	0.4366142721
74	0.789694282	0.4361575982
75	0.789694282	0.436152811
76	0.7899532985	0.4359000686
77	0.7903065029	0.4354369554
78	0.790769593	0.4348959375
79	0.7908794788	0.434546691
80	0.791342569	0.4341466496
81	0.7912876261	0.4341006856
82	0.7914053609	0.4338194315
83	0.7918292061	0.4333896265
84	0.7919155449	0.4329651095
85	0.7919390919	0.4327168026
86	0.7919390919	0.4327107643
87	0.7922765982	0.4322219495
88	0.792410031	0.4320144187
89	0.792943762	0.4314422497
90	0.7932891174	0.4312092332
91	0.7935716809	0.430658927
92	0.794026922	0.4302882117
93	0.7945528041	0.4297605122
94	0.7949060084	0.4292495234
95	0.7952278168	0.4286689015
96	0.7954083435	0.4283515518
97	0.7954711354	0.4280238229
98	0.7956045681	0.4277682969
99	0.795690907	0.4274150954
100	0.7960362623	0.4270949296
101	0.7963659197	0.4267790078
102	0.7969388956	0.4262766051
103	0.7970880264	0.4260836556
104	0.7974961736	0.4255011395
105	0.7978022841	0.4250113839
106	0.7979121699	0.4247447212
107	0.7980691496	0.4243285199
108	0.7982653742	0.4241112277
109	0.798351713	0.4237141263
110	0.7989717829	0.423193285
111	0.7989874809	0.4227760014
112	0.7993328362	0.422241507
113	0.7995997017	0.4218401659
114	0.7998822652	0.4216872352
115	0.8003924493	0.4212188297
116	0.8008241435	0.420830723
117	0.8007613516	0.4206231065
118	0.8010282171	0.4203644614
119	0.8011851968	0.4200024614
120	0.8012165928	0.4196176294
121	0.8016796829	0.4193158555
122	0.8019386994	0.4187839929
123	0.8023154507	0.4182711962
124	0.8026294101	0.4178179593
125	0.8031317452	0.4173342096
126	0.8037047212	0.4167788788
127	0.8041521133	0.4162651501
128	0.8045445626	0.415904819
129	0.8045445626	0.4159025912
130	0.8047172403	0.4154955278
131	0.8049448609	0.4150471089
132	0.8051960284	0.4147293009
133	0.8053216122	0.4144304625
134	0.805400102	0.4142683427
135	0.8058788902	0.4137400892
136	0.8061614536	0.4134758952
137	0.8061928496	0.4132225909
138	0.8067579765	0.4126918412
139	0.8072289157	0.4122437104
140	0.8072917075	0.4118786459
141	0.8073466504	0.4117439414
142	0.807597818	0.4113175594
143	0.8081237	0.4109351323
144	0.8082178878	0.4105702945
145	0.8086181861	0.4101349177
146	0.8090498803	0.409696467
147	0.8091205212	0.4094055009
148	0.8095993093	0.4089908569
149	0.8098269299	0.4086600889
150	0.8102272281	0.4080830423
151	0.8104391507	0.4077263992
152	0.8109100899	0.407402841
153	0.8112868412	0.4070560589
154	0.811404576	0.4067779141
155	0.8118284212	0.4063742191
156	0.8121502296	0.4059050773
157	0.81245634	0.4054236714
158	0.8128723363	0.4051317753
159	0.8129351281	0.4050467681
160	0.813029316	0.4048299887
161	0.8135159531	0.4044185638
162	0.8134924061	0.4043972893
163	0.8134767081	0.4041061483
164	0.8136807818	0.4037088053
165	0.8139554963	0.4033530174
